Blog	four	here	music	until	want	how	re	service	released	than	release	best	and	much	life	things	had	easy	has	right	old	people	sure	for	support	happy	time	team	along	love	working	such	so	years	internet	one	open	city	future	say	take	going	where	many	s	photos	being	around	world	power	her	with	an	as	at	to	small	past	full	social	more	its	always	found	really	number	set	see	last	read	couple	d	continue	be	by	into	line	up	us	ago	video	let	great	makes	next	this	high	doing	could	start	should	means	stuff	email	ve	site	off	less	web	five	does	announced	work	far	after	then	them	they	another	what	do	away	we	the	night	post	months	way	was	update	together	market	live	can	still	not	year	looking	that	online	only	between	comes	these	media	real	early	using	t	your	lot	you	since	month	very	a	help	actually	issue	put	latest	pretty	during	x	won	probably	both	else	look	while	game	some	doesn	go	facebook	started	hands	times	need	based	course	she	party	i	well	twitter	home	he	even	new	ever	never	call	before	better	used	isn	don	m	bad	said	against	three	is	it	in	if	make	left	just	yet	down	finally	did	run	making	may	man	talk	nbsp	thing	think	first	little	were	show	enough	get	reading	those	same	money	important	u	got	public	two	coming	through	good	hard	least	part	most	find	simple	create	yesterday	apple	big	bit	google	often	back	ll	day	have	thought	add	like	about	buy	but	under	every	street	would	phone	me	my	keep	end	over	each	free	days	already	top	too	though	however	news	been	everything	why	check	no	today	local	information	turn	any	later	state	come	week	without	when	seems	blog	on	of	or	everyone	there	all	list	might	feel	story	kind	his	him	are	recently	know	also	long	called	once	app	use	from	few	women	something	looks	our	out	their	which	who	will	gets	now	other	because	getting	own	made	book	june
Gothamist	1	5	0	0	1	5	4	0	3	7	1	3	80	3	3	2	4	0	17	1	8	6	0	28	0	0	3	0	0	0	0	0	7	4	0	11	0	6	0	2	3	2	5	1	55	3	3	7	2	0	13	26	8	15	18	66	0	0	1	0	49	6	0	5	3	3	0	2	7	0	0	1	0	12	17	4	1	15	3	2	2	2	0	0	0	19	0	2	3	2	1	1	0	0	0	0	5	1	0	1	0	2	0	2	5	2	6	10	4	3	3	3	7	170	1	3	1	1	14	0	0	2	1	6	2	1	10	1	40	1	2	1	0	2	0	1	2	0	10	2	0	19	1	3	3	96	0	0	0	3	1	0	2	1	2	0	2	1	5	5	2	5	0	1	2	0	2	2	0	0	0	7	0	1	3	2	2	9	2	13	1	1	4	1	0	0	0	4	2	0	3	0	3	33	15	61	0	2	1	8	0	2	1	3	2	1	7	4	0	38	3	2	4	0	2	1	0	4	0	2	0	0	0	1	1	5	5	2	3	1	1	2	0	1	0	0	0	5	0	2	0	0	0	4	2	7	7	1	0	6	3	0	8	1	2	10	4	2	1	0	1	2	8	1	3	1	1	3	4	1	0	2	6	0	0	2	10	4	2	0	0	1	4	1	3	5	2	5	1	0	26	76	3	0	9	5	1	1	0	1	0	6	4	9	2	1	8	1	2	2	0	1	8	0	0	0	1	5	11	5	4	11	4	2	9	1	6	0	2	2	0	2
we make money not art	0	0	1	0	0	2	1	1	0	0	0	0	68	1	2	1	1	0	4	2	0	0	1	15	0	0	7	0	0	0	0	1	1	2	1	3	3	2	1	0	1	0	0	1	19	1	1	2	13	0	0	11	13	15	14	43	0	2	0	2	1	7	0	0	0	0	0	3	1	0	0	1	15	7	8	3	1	2	7	1	1	0	0	0	0	6	0	1	1	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	1	1	1	3	2	0	1	0	2	100	0	0	0	2	0	0	0	0	1	2	1	3	3	1	20	1	1	4	0	3	7	0	0	0	3	1	0	10	1	0	0	34	0	0	0	0	0	0	2	0	1	0	0	0	2	2	0	2	0	1	0	0	2	0	0	1	2	0	0	17	2	0	0	3	0	7	0	0	0	1	0	0	0	2	3	0	2	0	2	15	6	34	3	1	0	2	0	0	0	0	0	1	2	1	1	0	0	0	5	0	1	5	0	0	0	0	1	1	0	1	1	4	0	0	2	0	0	0	2	3	2	0	1	0	0	0	0	0	3	1	0	0	5	1	0	4	6	1	2	3	0	2	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	2	3	0	0	0	3	5	0	4	1	1	0	0	1	1	0	1	0	1	6	58	13	0	2	3	0	4	2	0	0	3	1	9	0	1	3	0	2	0	0	3	10	0	3	0	1	0	1	5	7	3	3	0	5	1	1	0	3	1	3	0
Sifry's Alerts	4	10	1	1	32	19	45	4	1	14	1	4	261	15	0	15	16	9	14	11	6	4	8	96	4	2	16	11	5	7	7	3	37	7	5	19	3	13	2	3	8	22	23	10	88	4	1	9	10	1	2	73	23	58	33	258	4	0	5	0	62	3	2	8	21	3	7	4	9	8	0	19	5	51	11	11	6	32	20	0	7	6	16	3	11	40	4	3	9	2	7	11	3	1	34	6	10	6	9	6	5	1	10	3	6	9	8	17	3	32	25	3	98	408	1	5	5	9	22	3	7	6	4	39	13	14	11	10	129	1	13	2	3	4	2	2	1	6	34	72	13	154	5	3	15	195	9	3	0	11	0	6	3	5	5	2	8	2	7	13	1	27	1	16	0	3	0	7	10	4	7	1	0	181	20	2	3	2	14	16	6	2	2	7	4	7	2	11	37	0	0	0	3	77	110	122	40	20	2	18	3	2	1	4	1	7	0	0	0	0	3	10	19	1	4	3	7	38	1	17	2	7	2	4	10	5	8	5	9	13	6	2	7	11	4	4	7	0	0	13	9	1	8	7	26	11	37	3	8	34	41	6	41	2	3	0	6	4	22	33	2	13	12	6	5	3	2	10	10	3	3	1	21	4	7	4	10	8	11	40	4	5	2	9	10	5	0	36	1	20	92	197	59	3	41	29	4	1	4	2	3	4	2	51	3	14	23	7	1	5	0	12	28	5	3	8	3	14	36	27	17	22	15	4	13	10	6	7	3	4	17	2
Joho the Blog	0	1	0	0	1	0	2	0	1	2	0	0	12	1	0	2	0	0	4	1	0	1	1	6	0	1	0	0	0	1	0	0	3	0	3	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	2	1	1	1	6	11	2	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	1	2	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	3	0	0	3	27	1	1	0	0	1	0	0	1	2	0	0	4	0	0	7	2	0	0	0	0	1	0	0	0	0	2	1	1	1	0	2	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	9	8	9	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	3	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	3	3	0	4	1	0	0	0	0	4	3	0	0	2	0	2	1	0	0	0	0	0	1	2	0	1	0	1	0	0	2	0	1	0	0	0	0	1	2	1	1	10	14	1	0	1	3	1	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	3	0	1	0	0	1	1	0	3	0	1	3	0
ongoing by Tim Bray	0	2	1	0	1	0	3	0	0	1	0	0	21	1	1	2	1	0	1	0	1	2	2	5	1	0	0	0	1	3	1	0	5	0	1	4	0	0	2	0	0	0	0	4	18	0	1	0	3	0	0	8	1	2	2	9	1	0	0	1	0	0	2	0	5	1	0	2	1	0	1	2	0	1	3	0	0	2	1	0	0	0	2	1	0	9	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	4	0	0	0	1	3	38	0	0	0	1	1	0	0	0	1	4	1	7	0	1	7	0	1	0	1	0	1	0	1	0	5	0	2	0	0	0	0	23	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	5	0	4	0	0	0	0	0	0	1	1	2	0	1	1	1	10	11	14	1	1	0	4	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	2	4	0	0	3	0	0	4	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	4	0	1	7	18	1	0	2	1	0	1	0	1	0	2	0	5	0	0	1	0	1	0	0	0	0	0	0	1	0	1	2	3	2	1	1	0	0	1	2	1	0	0	1	0
Neil Gaiman's Journal	7	32	5	9	26	25	24	2	2	36	3	10	802	31	23	41	90	6	39	18	16	50	7	185	4	22	55	1	7	16	9	13	70	30	5	67	5	13	5	9	12	34	28	16	253	9	16	16	33	2	36	129	91	141	79	497	15	3	2	1	40	19	18	15	22	3	12	27	32	57	10	42	0	120	81	33	4	54	29	13	8	2	10	13	14	108	8	12	34	6	7	4	12	1	30	2	19	15	1	8	10	3	26	5	11	43	56	96	8	74	48	13	110	1067	19	12	2	26	245	0	10	0	7	49	25	92	25	8	313	6	27	4	8	15	1	11	1	4	82	14	10	187	6	3	33	607	4	12	4	17	0	6	3	0	5	6	9	9	15	16	0	33	6	18	1	11	2	17	10	3	6	42	2	716	14	6	15	135	18	34	17	29	7	14	7	9	6	17	50	6	18	5	25	160	428	371	74	28	5	49	3	17	3	31	1	8	7	22	11	379	36	24	40	16	50	4	13	33	15	10	18	17	8	0	27	4	15	3	14	30	8	2	8	18	22	2	2	4	3	8	5	1	3	17	27	27	97	26	4	101	101	8	97	6	18	2	64	7	113	118	3	7	31	18	4	16	16	1	17	5	3	2	49	12	9	0	17	11	6	3	3	18	12	1	10	20	11	74	7	10	147	536	97	3	79	82	3	9	12	55	17	70	49	90	3	30	18	21	13	15	0	9	85	15	4	37	8	18	57	23	51	94	38	3	42	24	37	5	19	34	86	2
ShoeMoney Internet Marketing Blog	0	1	0	0	1	1	0	0	1	0	0	2	8	0	0	0	0	0	5	0	0	2	0	5	0	0	2	0	1	0	0	0	1	1	1	2	0	0	0	1	0	0	0	1	2	0	0	0	1	1	0	4	2	2	4	10	0	0	0	0	2	2	0	0	2	0	0	1	2	0	0	0	0	2	1	1	0	0	1	0	1	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	20	0	0	0	1	1	0	0	0	0	3	0	1	0	0	5	5	3	0	0	0	0	2	0	0	4	6	1	7	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	1	0	3	2	7	2	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	2	0	2	0	1	0	5	0	0	0	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	2	0	0	2	0	1	0	1	0	0	4	0	0	0	0	2	1	0	1	0	0	0	0	3	0	1	0	0	4	2	1	0	0	0	0	0	0	0	0	0	1	3	10	1	1	1	2	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0
Joel on Software	6	6	0	2	11	7	29	0	1	4	2	7	112	7	5	20	14	2	13	4	6	21	2	53	1	2	6	15	0	2	10	0	29	8	2	16	2	5	2	0	2	13	4	3	64	0	1	6	7	0	0	24	17	9	37	166	3	0	1	0	16	1	2	3	11	6	1	3	3	1	1	1	0	37	15	11	2	10	10	3	1	3	32	1	7	26	6	4	6	1	9	5	3	1	1	0	5	0	2	5	4	0	13	1	4	4	19	45	4	16	12	4	59	187	1	2	6	13	29	0	2	2	0	19	5	36	7	2	97	1	7	1	0	13	2	5	5	10	32	35	9	132	1	4	8	159	4	9	0	3	0	5	0	0	3	3	1	0	1	4	0	9	7	5	1	5	3	2	15	1	1	0	0	35	2	1	1	5	11	21	8	7	4	5	4	7	1	8	6	1	6	0	6	57	86	69	36	16	0	21	6	1	1	3	2	3	5	0	2	7	4	4	8	5	15	1	7	34	0	6	2	8	3	0	6	6	17	0	3	7	4	2	2	12	6	5	2	0	0	5	4	0	3	2	14	3	35	3	0	7	25	0	29	6	7	0	16	0	4	9	4	2	5	3	3	4	2	4	7	1	0	7	10	2	8	2	7	3	0	0	1	8	0	3	0	7	4	11	0	2	46	121	17	5	26	25	6	2	0	5	4	3	0	40	0	8	3	2	4	4	1	12	14	7	1	4	0	16	16	14	14	13	25	3	6	7	13	6	2	4	1	0
The Full Feed from HuffingtonPost.com	0	2	1	1	0	2	0	2	0	0	1	0	27	2	2	0	7	0	4	0	0	1	0	21	0	0	3	5	1	1	0	2	2	1	0	3	1	3	1	1	3	3	0	1	30	0	1	1	0	1	13	14	9	8	7	43	0	1	2	1	20	2	0	2	3	0	0	1	3	8	2	4	0	6	5	1	0	1	0	0	5	0	2	1	2	9	1	0	1	0	1	0	0	0	2	0	2	0	1	2	2	0	1	0	6	2	5	5	0	3	0	1	3	79	2	0	0	3	15	0	2	1	0	3	1	1	3	1	14	0	1	2	1	0	0	0	0	0	3	3	0	4	2	0	3	46	1	1	0	1	1	3	3	0	2	0	0	0	0	1	1	1	0	3	0	3	0	0	0	0	0	12	0	2	3	0	1	12	1	3	1	1	0	2	0	0	0	0	4	0	11	0	1	7	21	26	0	0	0	2	0	1	3	3	0	0	1	0	0	0	0	0	9	1	4	4	2	0	0	0	0	2	0	2	4	0	3	0	3	2	0	1	0	1	0	0	0	0	3	1	0	0	0	4	0	3	5	0	0	2	2	0	4	3	1	0	3	0	1	3	0	1	2	1	0	0	1	0	1	1	0	0	5	0	0	0	0	0	0	0	1	2	0	1	1	5	0	9	1	0	24	39	1	0	2	3	0	0	2	0	0	7	5	2	0	1	0	0	0	0	0	0	8	1	4	0	0	0	4	7	1	12	0	0	0	1	1	1	0	2	9	2
Pharyngula	0	1	0	2	1	0	1	0	0	0	0	1	8	1	0	0	0	0	1	1	2	0	0	3	0	0	1	0	0	1	1	0	1	1	1	2	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	3	2	6	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	0	0	1	1	1	0	2	0	0	1	0	1	0	0	4	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	23	0	1	0	0	2	0	0	0	0	2	0	0	0	0	5	3	1	0	0	0	0	0	0	0	3	1	1	4	1	0	1	13	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	8	7	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	10	0	0	1	2	0	0	0	1	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	1	0	0	0
Kotaku	0	5	0	1	1	4	7	0	2	2	0	5	27	1	0	1	4	1	7	3	1	0	1	15	0	0	6	0	1	3	1	2	3	0	0	7	1	0	0	0	2	1	2	3	40	0	2	0	4	0	0	10	5	8	8	50	1	1	0	0	43	2	0	1	0	2	1	4	5	2	0	4	0	10	6	2	2	5	1	3	16	1	3	0	4	18	0	0	1	2	1	0	1	0	5	0	0	0	0	1	1	1	5	0	0	1	3	3	1	7	3	0	5	106	0	0	0	2	11	0	2	0	4	5	4	11	1	0	20	2	2	0	1	4	0	3	2	0	4	5	1	24	1	1	1	50	1	1	1	1	2	2	0	0	0	0	1	0	4	1	22	1	0	3	0	0	2	0	1	1	0	0	1	19	2	0	0	1	1	9	3	1	1	3	0	0	1	1	1	0	2	2	1	25	18	37	9	4	4	2	0	0	1	4	0	0	3	1	1	39	1	0	7	1	2	0	0	4	2	1	1	2	0	3	3	0	0	2	0	3	1	2	1	1	1	3	3	1	0	3	1	0	2	1	4	0	2	0	0	8	5	0	9	2	0	0	2	0	1	7	1	4	2	2	0	1	2	1	2	0	0	0	6	2	3	0	5	6	0	0	1	1	0	0	2	7	0	6	0	0	9	55	11	0	6	4	1	6	0	2	3	1	1	3	0	0	1	2	2	0	0	2	11	0	0	0	3	1	4	5	3	4	6	0	7	4	1	0	0	2	2	2
Joystiq	6	5	4	2	3	6	6	1	1	14	3	2	155	6	0	4	2	1	13	11	1	8	3	130	3	6	15	6	6	2	3	0	9	2	0	21	2	3	1	2	9	2	1	3	131	0	5	4	6	2	1	52	36	49	33	149	1	1	5	1	22	22	6	0	1	2	2	44	8	0	1	3	14	46	31	16	0	26	8	1	7	1	2	6	15	63	4	3	6	1	3	2	1	42	8	1	12	4	0	3	0	3	1	0	6	4	6	11	4	10	5	0	35	319	1	5	4	7	24	20	4	0	6	16	8	14	10	2	66	3	10	4	2	7	1	9	2	3	32	12	9	71	4	7	5	176	1	1	2	4	5	2	8	0	2	4	5	1	5	5	59	14	1	4	2	0	4	1	4	4	2	0	4	23	11	1	0	16	8	30	4	2	2	8	4	0	4	5	0	0	14	0	12	59	77	94	15	7	2	33	5	4	2	1	3	2	8	2	0	160	3	7	18	1	6	4	2	10	14	9	1	7	1	7	7	4	16	4	10	7	1	4	5	6	5	0	1	0	8	5	2	0	0	3	8	0	16	0	4	18	14	3	30	0	2	0	10	0	2	3	1	7	7	3	13	1	2	3	4	1	3	1	10	3	6	4	9	10	4	2	3	5	6	1	2	18	3	7	6	2	148	176	17	3	18	22	2	3	1	1	2	3	0	20	1	5	14	0	3	3	20	44	26	9	0	5	2	48	20	11	22	12	27	3	25	9	1	3	1	1	1	11
Derek Powazek	0	6	0	0	1	7	7	0	0	2	0	1	70	1	5	1	3	2	5	4	2	2	1	33	0	4	4	0	1	1	0	0	7	5	1	13	1	0	0	3	1	4	0	1	43	2	0	1	3	0	9	17	5	10	7	52	2	0	1	0	6	1	4	1	2	1	0	3	7	0	4	2	4	7	5	4	0	11	4	2	0	1	5	0	1	9	1	1	1	0	1	0	1	0	11	2	1	1	1	0	0	1	3	0	4	7	2	6	3	9	7	1	7	97	2	3	2	0	13	1	1	0	2	8	4	6	4	1	19	2	1	4	1	2	2	0	1	1	10	6	1	19	1	0	1	62	0	0	8	1	0	0	0	0	0	1	2	1	0	1	0	3	0	4	0	2	4	1	1	0	1	7	0	69	2	1	0	5	1	5	1	3	1	1	0	1	0	4	12	3	3	1	4	17	39	35	9	1	1	11	1	2	0	4	0	0	0	1	3	0	4	4	3	7	2	3	5	6	4	1	3	3	0	0	1	0	9	1	1	1	3	0	2	2	1	1	2	0	0	1	0	0	2	2	4	2	3	1	0	9	9	1	14	1	3	1	0	0	15	22	0	0	5	1	0	4	1	2	2	0	0	1	8	2	1	0	2	2	0	0	0	0	1	0	3	3	0	11	0	1	14	39	5	1	7	10	0	1	5	3	1	3	2	11	0	6	2	1	0	2	0	0	5	5	0	8	0	3	9	4	2	1	5	2	10	3	3	2	2	2	6	0
Download Squad	1	9	9	3	7	9	33	8	13	8	18	6	221	6	1	2	4	4	54	10	0	4	6	174	21	0	19	4	2	1	3	5	14	4	8	19	4	0	2	3	6	6	8	6	114	0	10	7	2	7	0	60	44	54	38	264	3	2	2	2	24	31	2	2	3	5	11	51	6	4	1	3	6	49	21	16	3	25	5	1	8	2	2	1	11	63	0	1	4	3	11	3	2	46	12	2	4	1	21	2	5	1	6	4	20	6	9	11	2	14	13	4	23	388	0	4	12	7	10	8	1	9	16	58	19	23	5	2	79	1	13	2	2	8	0	4	4	16	29	89	6	144	8	8	5	158	4	4	2	0	5	2	4	7	2	8	4	4	4	14	1	14	4	7	8	3	0	2	3	6	4	0	2	13	13	2	1	0	13	55	4	2	6	11	3	1	3	4	1	2	1	3	4	102	111	141	43	11	6	24	11	5	9	1	4	3	11	0	0	160	1	1	10	6	4	2	3	16	6	8	3	0	6	1	3	2	7	3	7	2	2	4	2	10	4	1	5	0	15	1	8	36	0	5	8	2	42	2	11	29	13	2	28	3	2	0	7	3	1	2	3	0	18	1	7	4	8	6	7	15	5	3	39	1	2	13	8	7	2	1	1	12	4	0	1	7	4	13	2	2	161	190	29	1	13	14	6	3	2	1	1	0	1	27	3	6	35	3	7	7	49	56	50	6	0	7	7	45	40	8	36	7	43	10	67	10	3	2	4	7	0	1
Jeremy Zawodny's blog	1	6	0	4	3	8	5	2	1	4	1	2	132	4	1	5	17	0	7	5	0	6	3	39	0	2	23	3	5	0	4	3	23	8	2	20	0	0	2	6	3	8	8	3	29	5	4	3	1	0	1	24	5	21	24	155	5	0	3	1	14	0	1	1	12	2	4	10	2	3	2	13	0	25	8	9	14	24	28	6	0	0	2	4	5	20	6	2	13	1	6	1	2	3	7	1	5	1	0	0	3	0	6	2	11	16	7	26	4	15	6	4	62	269	2	2	0	13	65	0	2	0	0	16	4	9	2	2	88	0	7	2	0	1	1	1	0	4	22	13	7	36	7	0	16	141	5	1	2	2	0	1	2	3	0	6	4	1	0	6	0	22	1	9	0	1	0	3	5	0	3	2	0	111	7	1	1	9	4	8	3	3	1	12	2	1	0	1	6	0	2	1	1	29	70	63	18	4	4	9	2	25	1	7	1	1	5	0	3	0	3	3	13	2	24	0	2	16	4	2	3	0	4	0	8	2	6	3	2	6	5	0	0	8	2	0	0	2	0	0	11	0	2	16	8	8	23	0	0	17	15	3	25	0	1	0	8	0	17	21	2	5	9	5	1	0	1	4	5	1	3	0	6	2	5	2	5	3	1	1	4	2	2	0	1	4	1	16	3	3	53	101	23	4	19	12	1	2	1	0	0	10	4	12	2	5	7	10	2	1	0	10	15	13	0	7	0	22	8	13	9	5	12	1	5	8	6	6	0	7	1	0
Captain's Quarters	0	0	0	0	0	1	0	0	0	2	0	1	12	0	0	0	3	0	7	0	0	0	0	8	0	1	1	0	1	1	0	0	0	2	0	2	0	0	0	0	1	0	0	0	4	0	0	0	1	0	1	4	1	4	5	22	0	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	4	4	2	0	1	3	1	0	0	0	0	1	1	0	0	0	1	2	1	0	0	0	1	1	1	0	0	0	1	1	0	3	0	0	2	1	0	0	0	1	50	0	1	2	0	1	0	0	0	0	1	1	3	0	0	9	0	1	1	1	0	1	0	0	0	1	0	0	2	1	0	0	20	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	3	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	14	1	0	0	0	0	2	0	3	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	2	0	2	2	0	0	0	3	0	1	1	0	1	1	0	2	2	1	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	1	2	0	0	2	0	0	2	0	1	0	2	0	1	14	20	0	0	0	0	0	0	0	4	0	6	1	0	0	0	2	0	0	1	0	1	3	1	0	0	0	0	4	6	0	1	5	0	0	2	0	0	0	0	0	0
Stepcase Lifehack	0	4	0	0	1	15	3	0	0	2	0	2	44	5	6	6	2	3	4	7	0	3	0	19	0	0	10	0	0	0	2	0	6	2	0	7	0	0	0	2	5	0	4	7	16	0	5	1	6	2	0	10	6	13	6	78	2	3	0	0	39	1	1	0	3	3	2	4	1	1	1	1	0	10	5	7	0	2	5	0	1	1	4	2	0	11	1	3	0	2	4	1	0	0	4	1	0	2	0	1	2	0	6	0	2	6	4	7	0	10	11	1	17	73	0	2	0	9	1	0	0	0	0	17	1	7	2	1	32	0	2	0	2	10	0	0	0	0	7	28	1	46	2	1	3	46	2	4	0	0	0	0	0	1	0	0	1	1	2	3	0	4	2	3	0	0	0	3	1	1	0	1	0	27	3	0	0	1	4	2	2	1	0	1	5	1	1	3	2	0	0	0	1	29	25	22	7	5	0	2	2	1	0	3	1	2	1	1	3	0	0	2	1	0	0	0	1	7	2	2	0	1	1	0	3	0	1	0	0	0	2	1	3	5	1	3	0	0	0	0	0	0	4	3	1	4	18	2	1	3	3	0	13	0	4	0	1	0	2	6	0	0	7	2	2	2	0	1	5	0	1	0	4	0	5	0	4	2	0	1	3	0	0	0	1	5	2	7	0	4	15	40	9	1	7	10	1	1	1	0	0	0	0	28	0	5	4	0	0	0	0	4	8	0	0	0	0	10	8	3	5	1	3	0	3	0	2	1	1	3	3	0
Engadget	2	5	2	1	7	7	16	4	4	7	4	1	148	6	1	4	6	0	28	2	2	0	4	155	4	0	14	1	1	2	3	0	16	2	2	26	3	0	10	2	5	2	9	9	177	1	5	2	4	6	0	72	38	36	53	219	1	4	4	4	23	52	0	4	4	1	8	49	6	1	0	10	13	36	23	18	7	32	12	1	25	5	1	2	8	76	8	0	8	4	6	4	3	41	8	0	14	2	5	6	1	4	4	3	11	11	3	15	1	9	8	4	39	443	2	0	3	5	11	17	1	3	5	33	17	19	10	4	87	6	17	4	4	4	1	1	4	6	28	26	4	69	2	2	3	178	2	3	2	1	3	1	2	63	4	1	8	4	4	18	1	14	3	4	4	1	9	6	7	2	4	0	2	5	7	2	4	1	5	24	3	1	0	6	1	6	3	1	0	2	0	0	7	69	82	106	18	3	2	22	4	6	3	2	6	3	8	0	1	280	6	1	10	3	7	5	2	18	22	10	8	1	0	9	6	2	10	7	9	3	4	6	4	6	3	2	1	2	29	5	5	11	0	13	22	2	17	0	4	22	6	7	41	4	3	6	3	15	0	3	6	4	10	9	14	3	6	7	2	3	8	5	10	1	1	5	16	7	0	4	4	7	7	2	10	7	1	9	3	0	163	223	26	5	14	20	3	9	2	1	2	2	0	20	1	8	19	3	2	5	27	45	26	4	0	1	5	51	33	17	18	9	37	0	18	18	3	1	7	4	0	2
ThinkProgress	1	1	0	0	1	3	0	0	0	2	0	1	18	0	0	0	2	0	8	2	0	2	0	17	1	0	5	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	23	0	0	0	0	1	1	3	8	10	4	31	0	0	2	0	3	3	0	0	0	1	1	0	1	2	0	0	0	2	9	2	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	2	0	0	0	6	1	0	2	2	0	1	4	1	4	0	0	0	74	0	0	1	0	5	0	0	1	0	1	1	6	2	0	20	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	30	0	1	0	1	0	0	4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	1	1	4	1	6	0	0	2	7	0	6	0	0	1	1	0	0	0	0	0	0	0	5	1	16	5	29	2	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	5	2	2	1	0	0	1	1	0	0	0	3	0	1	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	4	0	0	1	2	0	0	2	2	1	3	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	2	0	2	0	2	6	1	0	0	0	0	3	0	0	0	4	0	0	22	43	2	0	1	3	1	0	0	1	1	3	0	4	0	0	2	0	0	0	0	0	8	0	6	0	0	2	3	4	1	0	3	0	3	1	2	1	2	1	0	0
